Category,Description,Data.Carbohydrate,Data.Kilocalories,Data.Protein,Data.Fat.Total Lipid
EGG,"EGG,WHOLE,RAW,FROZEN",1.05,148,11.95,10.2
EGG,"EGG,WHITE,RAW,FROZEN",1.05,47,9.8,0.0
EGG,"EGG,WHITE,DRIED",7.8,382,81.1,0.0
SOUR CREAM,"SOUR CREAM,REDUCED FAT",7.0,181,7.0,14.1
SOUR CREAM,"SOUR CREAM,LIGHT",7.1,136,3.5,10.6
SOUR CREAM,"SOUR CREAM,FAT FREE",15.6,74,3.1,0.0
USDA COMMODITY,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",2.0,282,27.2,18.3
YOGURT,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",7.5,47,3.86,0.18
PARMESAN CHS TOPPING,"PARMESAN CHS TOPPING,FAT FREE",40.0,370,40.0,5.0
CHEESE,"CHEESE,CREAM,FAT FREE",7.66,105,15.69,1.0
YOGURT,"YOGURT,CHOC,NONFAT MILK",23.53,108,3.53,0.0
No Category,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,9.2,276,12.0,21.0
No Category,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,16.2,215,16.3,9.5
No Category,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,11.7,148,22.7,1.0
No Category,KRAFT VELVEETA PAST PROCESS CHS SPRD,9.8,303,16.3,22.0
No Category,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,11.8,222,19.6,10.6
No Category,KRAFT BREAKSTONE'S RED FAT SOUR CRM,6.5,152,4.5,12.0
No Category,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,15.1,91,4.7,1.3
No Category,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),18.2,96,3.8,0.8
No Category,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),21.9,108,3.2,0.8
No Category,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),19.9,102,3.8,0.9
No Category,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),9.9,55,3.4,0.2
CREAM,"CREAM,HALF & HALF,FAT FREE",9.0,59,2.6,1.4
No Category,REDDI WIP FAT FREE WHIPPED TOPPING,25.0,149,3.0,5.0
MILK,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",12.13,78,2.99,1.9
YOGURT,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",18.6,105,4.86,1.41
CHEESE,"CHEESE,PARMESAN,DRY GRATED,RED FAT",1.37,265,20.0,20.0
CREAM SUB,"CREAM SUB,FLAV,LIQ",35.07,251,0.69,13.5
CREAM SUB,"CREAM SUB,FLAV,POWDERED",75.42,495,0.0,21.47
CHEESE,"CHEESE,PROVOLONE,RED FAT",3.5,274,24.7,17.6
CHEESE,"CHEESE,MEXICAN,BLEND,RED FAT",3.41,282,24.69,19.4
EGG MIX,"EGG MIX,USDA CMDTY",23.97,549,35.6,34.5
ALLSPICE,"ALLSPICE,GROUND",72.12,263,6.09,8.69
No Category,ANISE SEED,50.02,337,17.6,15.9
SPICES,"SPICES,BASIL,DRIED",60.96,251,14.37,3.98
